"%id";"nombre";"descripcion";"kcal";"proteinas";"grasas";"carbohidratos"
"1";"Aceite de algodón";"";"888";"0";"100";"0"
"2";"Aceite de cacahuete";"";"887";"0";"100";"0"
"3";"Aceite de coco";"";"888";"0";"100";"0"
"4";"Aceite de colza";"";"888";"0";"100";"0"
"5";"Aceite de germen de trigo";"";"888";"0";"100";"0"
"6";"Aceite de girasol";"";"888";"0";"100";"0"
"7";"Aceite de grano de uva";"";"887";"0";"100";"0"
"8";"Aceite de hígado de bacalao";"";"888";"0";"100";"0"
"9";"Aceite de lino";"";"888";"0";"100";"0"
"10";"Aceite de nuez";"";"888";"0";"100";"0"
"11";"Aceite de oliva";"";"888";"0";"100";"0"
"12";"Aceite de oliva virgen extra";"";"888";"0";"100";"0"
"13";"Aceite de oliva virgen extra produccion ecológica";"";"888";"0";"100";"0"
"14";"Aceite de palma";"";"888";"0";"100";"0"
"15";"Aceite de sésamo";"";"888";"0";"100";"0"
"16";"Aceite de soja";"";"888";"0";"100";"0"
"17";"Aceitunas";"";"120";"1.3";"12.5";"1"
"18";"Aceitunas negras";"";"289";"2";"29.8";"4"
"19";"Acelga cruda";"";"21";"2.1";"0.2";"2.7"
"20";"Acelga en conserva";"";"17";"1.8";"0.08";"2.3"
"21";"Acelgas hervidas";"";"29";"1.9";"0.39";"4.37"
"22";"Achicoria cruda";"";"19";"0.5";"0.6";"2.8"
"23";"Agua del grifo";"";"0";"0";"0";"0"
"24";"Agua mineral mineralización debil";"";"0";"0";"0";"0"
"25";"Agua con gas";"";"0";"0";"0";"0"
"26";"Aguacate";"";"137";"1.5";"12";"0.4"
"27";"Aguacate congelado";"";"224";"1.9";"23.5";"0.4"
"28";"Ajo";"";"117";"3.9";"0.23";"24.3"
"29";"Ajo en polvo";"";"371";"16.5";"0.73";"72.73"
"30";"Ajo frito";"";"102";"7.7";"0.59";"15.97"
"31";"Albahaca";"";"178";"14.4";"3.98";"20.5"
"32";"Albaricoque";"";"42";"0.8";"0";"9.5"
"33";"Albóndigas en conserva";"";"142";"6.8";"9.72";"6.8"
"34";"Alcachofa cruda";"";"23";"2.9";"0.2";"2.26"
"35";"Alcachofa en conserva";"";"18";"2.9";"0.16";"1.2"
"36";"Alcaparra";"";"26";"2.36";"0.86";"2.1"
"37";"Allioli";"";"785";"0.46";"86.89";"2.84"
"38";"Almejas";"";"48";"10.7";"1.61";"0"
"39";"Almejas en conserva";"";"81";"17.43";"0.4";"1.5"
"40";"Almendra cruda";"";"589";"19.13";"45.22";"6.2"
"41";"Almendra frita salada";"";"593";"19";"55.96";"4.5"
"42";"Almendra tostada";"";"590";"22.9";"52.93";"6.6"
"43";"Almidón de arroz";"";"350";"0.76";"0";"85"
"44";"Almidón de maíz";"";"374";"0.26";"0";"91.3"
"45";"Almidón de trigo";"";"";"";"";""
"46";"Altramuz";"";"";"";"";""
"47";"Alubia blanca en conserva";"";"";"";"";""
"48";"Alubia blanca seca cruda";"";"";"";"";""
"49";"Alubia negra";"";"";"";"";""
"50";"Anacardo crudo";"";"";"";"";""
"51";"Anchoas en aceite vegetal";"";"";"";"";""
"52";"Anguila al horno";"";"";"";"";""
"53";"Anguila cruda";"";"";"";"";""
"54";"Anguila hervida";"";"";"";"";""
"55";"Angula cruda";"";"";"";"";""
"56";"Anís seco";"";"";"";"";""
"57";"Aperitivos de trigo";"";"";"";"";""
"58";"Apio crudo";"";"";"";"";""
"59";"Apio en conserva";"";"";"";"";""
"60";"Arandano";"";"";"";"";""
"61";"Arenque ahumado";"";"";"";"";""
"62";"Arenque salado";"";"";"";"";""
"63";"Arroz";"";"";"";"";""
"64";"Arroz con leche";"";"";"";"";""
"65";"Arroz inflado";"";"";"";"";""
"66";"Arroz integral";"";"";"";"";""
"67";"Atún en aceite de oliva";"";"";"";"";""
"68";"Atún en aceite vegetal";"";"";"";"";""
"69";"Atún en escabeche";"";"";"";"";""
"70";"Atún al horno";"";"";"";"";""
"71";"Atún natural";"";"";"";"";""
"72";"Atún crudo";"";"";"";"";""
"73";"Atún a la plancha";"";"";"";"";""
"74";"Avellana";"";"";"";"";""
"75";"Avena";"";"";"";"";""
"76";"Avestruz";"";"";"";"";""
"77";"Azafrán";"";"";"";"";""
"78";"Azúcar blanco";"";"";"";"";""
"79";"Azúcar moreno";"";"";"";"";""
"80";"Bacaladilla";"";"";"";"";""
"81";"Bacalao ahumado";"";"";"";"";""
"82";"Bacalao crudo";"";"";"";"";""
"83";"Bacalao fresco al horno";"";"";"";"";""
"84";"Bacalao frito";"";"";"";"";""
